Dosage (µSv/h),Distance (cm),Sensor,Time,Details,Coordinates
0.8,1017.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:11 PM,Low dosage detected in this area,"[51.42336, -2.67139]"
0.3,1012.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:13 PM,Low dosage detected in this area,"[51.42336, -2.67137]"
0.46,1032.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:15 PM,Low dosage detected in this area,"[51.42336, -2.67137]"
0.38,1078.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:17 PM,Low dosage detected in this area,"[51.42332, -2.67137]"
0.53,1055.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:19 PM,Low dosage detected in this area,"[51.42331, -2.67141]"
0.46,1041.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:21 PM,Low dosage detected in this area,"[51.4233, -2.67144]"
0.44,1028.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:23 PM,Low dosage detected in this area,"[51.42329, -2.67146]"
0.58,1019.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:25 PM,Low dosage detected in this area,"[51.42329, -2.67146]"
0.35,1021.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:27 PM,Low dosage detected in this area,"[51.4233, -2.67145]"
0.57,1025.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:29 PM,Low dosage detected in this area,"[51.42331, -2.67142]"
0.49,1030.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:31 PM,Low dosage detected in this area,"[51.42333, -2.67139]"
0.54,1029.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:33 PM,Low dosage detected in this area,"[51.42334, -2.67136]"
0.58,1020.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:35 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.38,1030.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:37 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.54,1029.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:39 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.51,1023.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:41 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.44,1029.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:43 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.29,1026.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:45 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.46,1029.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:47 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.57,1031.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:49 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.31,1016.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:51 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.23,1011.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:53 PM,Low dosage detected in this area,"[51.42335, -2.67134]"
0.37,1017.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:55 PM,Low dosage detected in this area,"[51.42335, -2.67133]"
0.58,1019.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:57 PM,Low dosage detected in this area,"[51.42335, -2.67133]"
0.52,1035.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:15:59 PM,Low dosage detected in this area,"[51.42335, -2.67133]"
0.4,1013.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:01 PM,Low dosage detected in this area,"[51.42335, -2.67133]"
0.41,1002.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:03 PM,Low dosage detected in this area,"[51.42335, -2.67133]"
0.53,985.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:05 PM,Low dosage detected in this area,"[51.42335, -2.67133]"
0.42,963.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:08 PM,Low dosage detected in this area,"[51.42335, -2.67133]"
0.49,946.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:10 PM,Low dosage detected in this area,"[51.42334, -2.67132]"
0.45,979.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:12 PM,Low dosage detected in this area,"[51.42332, -2.6713]"
0.55,927.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:14 PM,Low dosage detected in this area,"[51.42329, -2.67128]"
0.34,924.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:16 PM,Low dosage detected in this area,"[51.42327, -2.67126]"
0.41,938.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:18 PM,Low dosage detected in this area,"[51.42324, -2.67124]"
0.24,945.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:20 PM,Low dosage detected in this area,"[51.42321, -2.67122]"
0.32,951.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:22 PM,Low dosage detected in this area,"[51.42319, -2.6712]"
0.31,981.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:28 PM,Low dosage detected in this area,"[51.42311, -2.67113]"
0.29,1047.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:30 PM,Low dosage detected in this area,"[51.42309, -2.67111]"
0.56,993.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:32 PM,Low dosage detected in this area,"[51.42309, -2.67111]"
0.4,974.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:34 PM,Low dosage detected in this area,"[51.42341, -2.67116]"
0.67,959.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:36 PM,Low dosage detected in this area,"[51.42339, -2.67114]"
0.38,938.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:38 PM,Low dosage detected in this area,"[51.42336, -2.67113]"
0.5,925.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:40 PM,Low dosage detected in this area,"[51.42334, -2.67112]"
0.52,907.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:42 PM,Low dosage detected in this area,"[51.42332, -2.6711]"
0.35,884.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:44 PM,Low dosage detected in this area,"[51.42329, -2.67109]"
0.74,883.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:46 PM,Low dosage detected in this area,"[51.42326, -2.67107]"
0.45,880.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:48 PM,Low dosage detected in this area,"[51.42324, -2.67106]"
0.59,868.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:52 PM,Low dosage detected in this area,"[51.42319, -2.67103]"
0.35,866.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:16:54 PM,Low dosage detected in this area,"[51.42316, -2.67102]"
0.63,892.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:01 PM,Low dosage detected in this area,"[51.42309, -2.67099]"
0.46,894.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:03 PM,Low dosage detected in this area,"[51.42307, -2.67098]"
0.31,899.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:05 PM,Low dosage detected in this area,"[51.42305, -2.67097]"
0.53,902.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:07 PM,Low dosage detected in this area,"[51.42305, -2.67095]"
0.51,905.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:09 PM,Low dosage detected in this area,"[51.42306, -2.67093]"
0.62,916.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:11 PM,Low dosage detected in this area,"[51.42306, -2.67093]"
0.45,939.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:13 PM,Low dosage detected in this area,"[51.42338, -2.6711]"
0.39,937.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:15 PM,Low dosage detected in this area,"[51.4234, -2.67111]"
0.39,919.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:17 PM,Low dosage detected in this area,"[51.42342, -2.67111]"
0.49,909.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:19 PM,Low dosage detected in this area,"[51.42343, -2.67111]"
0.38,900.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:21 PM,Low dosage detected in this area,"[51.42343, -2.67108]"
0.47,894.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:23 PM,Low dosage detected in this area,"[51.42342, -2.67106]"
0.24,876.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:25 PM,Low dosage detected in this area,"[51.42341, -2.67104]"
0.4,867.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:27 PM,Low dosage detected in this area,"[51.42339, -2.67103]"
0.33,851.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:29 PM,Low dosage detected in this area,"[51.42338, -2.67101]"
0.54,834.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:31 PM,Low dosage detected in this area,"[51.42336, -2.67099]"
0.53,831.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:33 PM,Low dosage detected in this area,"[51.42334, -2.67098]"
0.43,806.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:36 PM,Low dosage detected in this area,"[51.42333, -2.67096]"
0.63,804.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:38 PM,Low dosage detected in this area,"[51.42331, -2.67095]"
0.59,810.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:40 PM,Low dosage detected in this area,"[51.4233, -2.67094]"
0.55,815.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:42 PM,Low dosage detected in this area,"[51.42328, -2.67093]"
0.37,819.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:44 PM,Low dosage detected in this area,"[51.42327, -2.67091]"
0.54,829.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:46 PM,Low dosage detected in this area,"[51.42325, -2.6709]"
0.65,831.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:48 PM,Low dosage detected in this area,"[51.42323, -2.67089]"
0.58,841.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:50 PM,Low dosage detected in this area,"[51.42323, -2.67089]"
0.29,846.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:52 PM,Low dosage detected in this area,"[51.42332, -2.67085]"
0.59,847.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:54 PM,Low dosage detected in this area,"[51.42334, -2.67085]"
0.52,855.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:56 PM,Low dosage detected in this area,"[51.42335, -2.67086]"
0.38,874.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:17:58 PM,Low dosage detected in this area,"[51.42337, -2.67087]"
0.35,870.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:00 PM,Low dosage detected in this area,"[51.42338, -2.67088]"
0.52,854.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:02 PM,Low dosage detected in this area,"[51.4234, -2.67089]"
0.38,845.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:04 PM,Low dosage detected in this area,"[51.42341, -2.6709]"
0.44,841.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:06 PM,Low dosage detected in this area,"[51.42343, -2.67091]"
0.46,828.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:08 PM,Low dosage detected in this area,"[51.42344, -2.67092]"
0.37,822.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:10 PM,Low dosage detected in this area,"[51.42346, -2.67091]"
0.58,805.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:12 PM,Low dosage detected in this area,"[51.42347, -2.6709]"
0.3,783.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:14 PM,Low dosage detected in this area,"[51.42347, -2.67087]"
0.28,763.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:16 PM,Low dosage detected in this area,"[51.42347, -2.67085]"
0.51,744.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:18 PM,Low dosage detected in this area,"[51.42345, -2.67084]"
0.58,714.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:20 PM,Low dosage detected in this area,"[51.42345, -2.67082]"
0.45,683.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:22 PM,Low dosage detected in this area,"[51.42343, -2.67081]"
0.39,678.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:24 PM,Low dosage detected in this area,"[51.42343, -2.67079]"
0.44,683.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:26 PM,Low dosage detected in this area,"[51.42341, -2.67078]"
0.56,672.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:28 PM,Low dosage detected in this area,"[51.42341, -2.67078]"
0.37,691.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:30 PM,Low dosage detected in this area,"[51.42314, -2.67034]"
0.52,714.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:34 PM,Low dosage detected in this area,"[51.42318, -2.67038]"
0.41,724.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:36 PM,Low dosage detected in this area,"[51.42321, -2.6704]"
0.41,737.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:38 PM,Low dosage detected in this area,"[51.42323, -2.67043]"
0.38,746.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:40 PM,Low dosage detected in this area,"[51.42325, -2.67045]"
0.41,751.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:42 PM,Low dosage detected in this area,"[51.42327, -2.67047]"
0.41,753.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:44 PM,Low dosage detected in this area,"[51.42329, -2.6705]"
0.41,774.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:47 PM,Low dosage detected in this area,"[51.42331, -2.67052]"
0.6,766.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:49 PM,Low dosage detected in this area,"[51.42334, -2.67055]"
0.37,775.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:51 PM,Low dosage detected in this area,"[51.42336, -2.67057]"
0.78,776.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:53 PM,Low dosage detected in this area,"[51.42338, -2.67059]"
0.32,772.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:55 PM,Low dosage detected in this area,"[51.4234, -2.67062]"
0.41,765.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:57 PM,Low dosage detected in this area,"[51.42342, -2.67064]"
0.44,762.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:18:59 PM,Low dosage detected in this area,"[51.42345, -2.67066]"
0.41,755.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:01 PM,Low dosage detected in this area,"[51.42347, -2.67068]"
0.58,757.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:03 PM,Low dosage detected in this area,"[51.42349, -2.6707]"
0.57,762.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:07 PM,Low dosage detected in this area,"[51.4235, -2.67073]"
0.34,759.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:09 PM,Low dosage detected in this area,"[51.42329, -2.67145]"
0.4,765.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:11 PM,Low dosage detected in this area,"[51.42328, -2.67148]"
0.71,775.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:17 PM,Low dosage detected in this area,"[51.42325, -2.67157]"
0.45,753.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:19 PM,Low dosage detected in this area,"[51.42325, -2.6716]"
0.39,743.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:21 PM,Low dosage detected in this area,"[51.42324, -2.67163]"
0.51,741.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:23 PM,Low dosage detected in this area,"[51.42323, -2.67165]"
0.29,735.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:25 PM,Low dosage detected in this area,"[51.42322, -2.67168]"
0.49,724.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:27 PM,Low dosage detected in this area,"[51.42321, -2.67169]"
0.47,712.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:29 PM,Low dosage detected in this area,"[51.4232, -2.67168]"
0.6,700.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:36 PM,Low dosage detected in this area,"[51.42323, -2.67159]"
0.42,688.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:38 PM,Low dosage detected in this area,"[51.42324, -2.67157]"
0.42,673.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:42 PM,Low dosage detected in this area,"[51.42327, -2.67151]"
0.35,656.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:44 PM,Low dosage detected in this area,"[51.42328, -2.67149]"
0.28,666.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:46 PM,Low dosage detected in this area,"[51.42352, -2.67087]"
0.32,637.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:48 PM,Low dosage detected in this area,"[51.42353, -2.67083]"
0.48,642.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:50 PM,Low dosage detected in this area,"[51.42352, -2.6708]"
0.31,639.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:52 PM,Low dosage detected in this area,"[51.4235, -2.6708]"
0.59,635.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:54 PM,Low dosage detected in this area,"[51.42348, -2.67081]"
0.41,623.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:56 PM,Low dosage detected in this area,"[51.42346, -2.67084]"
0.31,616.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:19:58 PM,Low dosage detected in this area,"[51.42344, -2.67087]"
0.42,617.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:00 PM,Low dosage detected in this area,"[51.42342, -2.6709]"
0.36,608.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:02 PM,Low dosage detected in this area,"[51.42341, -2.67092]"
0.29,609.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:04 PM,Low dosage detected in this area,"[51.42339, -2.67095]"
0.32,604.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:06 PM,Low dosage detected in this area,"[51.42338, -2.67098]"
0.32,605.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:08 PM,Low dosage detected in this area,"[51.42336, -2.67101]"
0.38,608.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:10 PM,Low dosage detected in this area,"[51.42334, -2.67103]"
0.5,603.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:12 PM,Low dosage detected in this area,"[51.42333, -2.67106]"
0.25,602.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:14 PM,Low dosage detected in this area,"[51.42332, -2.67108]"
0.2,603.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:16 PM,Low dosage detected in this area,"[51.4233, -2.67111]"
0.44,623.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:18 PM,Low dosage detected in this area,"[51.42329, -2.67114]"
0.27,589.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:20 PM,Low dosage detected in this area,"[51.42328, -2.67116]"
0.44,584.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:22 PM,Low dosage detected in this area,"[51.42327, -2.67119]"
0.33,575.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:24 PM,Low dosage detected in this area,"[51.42314, -2.67144]"
0.61,571.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:26 PM,Low dosage detected in this area,"[51.42315, -2.67142]"
0.31,554.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:28 PM,Low dosage detected in this area,"[51.42315, -2.67139]"
0.26,546.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:30 PM,Low dosage detected in this area,"[51.42316, -2.67137]"
0.27,533.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:32 PM,Low dosage detected in this area,"[51.42317, -2.67135]"
0.61,528.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:36 PM,Low dosage detected in this area,"[51.42318, -2.6713]"
0.4,523.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:38 PM,Low dosage detected in this area,"[51.42319, -2.67127]"
0.42,519.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:40 PM,Low dosage detected in this area,"[51.4232, -2.67125]"
0.15,511.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:42 PM,Low dosage detected in this area,"[51.42321, -2.67122]"
0.42,506.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:44 PM,Low dosage detected in this area,"[51.42321, -2.67119]"
0.49,490.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:48 PM,Low dosage detected in this area,"[51.42323, -2.67114]"
0.46,493.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:50 PM,Low dosage detected in this area,"[51.42324, -2.67111]"
0.3,464.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:52 PM,Low dosage detected in this area,"[51.42325, -2.67109]"
0.36,467.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:54 PM,Low dosage detected in this area,"[51.42326, -2.67106]"
0.5,468.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:56 PM,Low dosage detected in this area,"[51.42327, -2.67103]"
0.38,466.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:20:59 PM,Low dosage detected in this area,"[51.42328, -2.67101]"
0.51,459.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:01 PM,Low dosage detected in this area,"[51.42329, -2.67098]"
0.35,459.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:03 PM,Low dosage detected in this area,"[51.42329, -2.67098]"
0.24,453.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:05 PM,Low dosage detected in this area,"[51.4232, -2.67097]"
0.42,448.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:09 PM,Low dosage detected in this area,"[51.42318, -2.67102]"
0.29,451.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:11 PM,Low dosage detected in this area,"[51.42317, -2.67105]"
0.53,457.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:13 PM,Low dosage detected in this area,"[51.42316, -2.67108]"
0.59,451.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:15 PM,Low dosage detected in this area,"[51.42315, -2.6711]"
0.52,450.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:17 PM,Low dosage detected in this area,"[51.42314, -2.67113]"
0.3,453.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:19 PM,Low dosage detected in this area,"[51.42313, -2.67115]"
0.37,457.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:21 PM,Low dosage detected in this area,"[51.42312, -2.67118]"
0.32,470.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:23 PM,Low dosage detected in this area,"[51.4231, -2.67121]"
0.43,467.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:25 PM,Low dosage detected in this area,"[51.42309, -2.67124]"
0.32,439.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:28 PM,Low dosage detected in this area,"[51.42308, -2.67127]"
0.42,431.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:30 PM,Low dosage detected in this area,"[51.42307, -2.67129]"
0.56,419.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:32 PM,Low dosage detected in this area,"[51.42306, -2.67132]"
0.56,411.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:34 PM,Low dosage detected in this area,"[51.42305, -2.67134]"
0.36,404.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:36 PM,Low dosage detected in this area,"[51.42304, -2.67137]"
0.35,394.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:38 PM,Low dosage detected in this area,"[51.42303, -2.67139]"
0.25,393.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:40 PM,Low dosage detected in this area,"[51.42302, -2.67142]"
0.32,384.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:42 PM,Low dosage detected in this area,"[51.42312, -2.67108]"
0.4,377.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:46 PM,Low dosage detected in this area,"[51.42316, -2.67102]"
0.33,368.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:48 PM,Low dosage detected in this area,"[51.42317, -2.67099]"
0.47,362.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:50 PM,Low dosage detected in this area,"[51.42319, -2.67096]"
0.37,357.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:52 PM,Low dosage detected in this area,"[51.4232, -2.67093]"
0.33,350.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:21:54 PM,Low dosage detected in this area,"[51.42321, -2.6709]"
