Dosage (µSv/h),Distance (cm),Sensor,Time,Details,Coordinates
0.32,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:23 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.27,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:25 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.26,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:27 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.37,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:29 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.48,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:31 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.39,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:33 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.35,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:35 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.36,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:37 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.43,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:39 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.34,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:41 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.49,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:43 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.5,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:45 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.34,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:47 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.43,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:49 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.44,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:51 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.52,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:53 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.83,18.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:55 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.4,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:57 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.54,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:10:59 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.46,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:01 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.52,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:04 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.57,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:06 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.34,14.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:08 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.56,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:10 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.41,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:12 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.34,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:14 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.48,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:16 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.33,17.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:18 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.57,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:20 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
0.35,15.0,Hamamatsu Caesium Iodide (CsI) Scintillator,2025-09-02 12:11:22 PM,Low dosage detected in this area,"[51.42348, -2.67147]"
